priority,address,entity_type,confidence,borrowed_m,protocols,assets,governance,reasons
1,0xaaf5feaa9e5694b2b293e67558e2da8ea4b1fb13,likely_fund,60,148.3,aave|compound|aave_lido,USDC|WETH|weETH|wstETH|DAI|rETH|YFI|USDT,,"Uses 3 protocols: aave, aave_lido, compound | High leverage: 1.2x (borrowed/net) | Borrows 8 different assets | Whale: $235M borrowed"
1,0xdf2609ec3d2e07a79d2e25e52960e75250bd9aaa,likely_fund,60,113.7,aave|compound|aave_lido|spark,USDC|WETH|USDe|GHO|PYUSD|wstETH|USDtb|USDS,,"Uses 4 protocols: aave, aave_lido, compound, spark | High leverage: 1.2x (borrowed/net) | Borrows 10 different assets | Borrows GHO (Aave-native stablecoin)"
1,0x54e324219979c0d1e9a895122edaaaa3c02cb6b4,likely_fund,60,87.8,aave|compound|aave_lido|spark,USDC|WETH|wstETH|WBTC|USDT,,"Uses 4 protocols: aave, aave_lido, compound, spark | Borrows 5 different assets | Whale: $152M borrowed | Uses Spark (MakerDAO ecosystem)"
1,0x31078100f05988e15407aac745fcd141f9440475,likely_fund,60,75.5,aave|aave_lido|spark,USDC|USDe|USDS|WBTC|USDT,,"Uses 3 protocols: aave, aave_lido, spark | High leverage: 1.1x (borrowed/net) | Borrows 5 different assets | Whale: $163M borrowed"
2,0xe40d278afd00e6187db21ff8c96d572359ef03bf,institutional_safe,65,255.6,aave,EURC|USDC|USDT,,Contract address (Safe/multisig/bot) | Whale: $256M borrowed
2,0x40e93a52f6af9fcd3b476aedadd7feabd9f7aba8,institutional_safe,65,238.0,aave,wstETH|WETH,,"Borrows only volatile: WETH, wstETH | Contract address (Safe/multisig/bot) | Whale: $238M borrowed"
2,0xe84a061897afc2e7ff5fb7e3686717c528617487,institutional_safe,65,206.4,aave|compound,USDC|DAI|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: DAI, USDC, USDT | Contract address (Safe/multisig/bot) | Whale: $285M borrowed"
2,0x3edc842766cb19644f7181709a243e523be29c4c,institutional_safe,65,174.6,aave,WETH,,High leverage: 1.0x (borrowed/net) | Borrows only volatile: WETH | Contract address (Safe/multisig/bot) | Whale: $175M borrowed
2,0xa923b13270f8622b5d5960634200dc4302b7611e,institutional_safe,65,127.6,aave,USDC,,Borrows only stablecoins: USDC | Contract address (Safe/multisig/bot) | Whale: $128M borrowed
2,0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,institutional_safe,65,125.1,aave,USDC|USDT,,"Conservative: 0.2x leverage | Borrows only stablecoins: USDC, USDT | Contract address (Safe/multisig/bot) | Whale: $125M borrowed"
2,0x1cebd13797636b94c5cad7108cebe42d2fce7732,institutional_safe,65,120.6,aave|aave_lido,USDC|WETH|wstETH|PYUSD|USDS|DAI|cbBTC|USDT,,"Uses 2 protocols: aave, aave_lido | Borrows 8 different assets | Contract address (Safe/multisig/bot) | Whale: $139M borrowed"
2,0x0685279840527e5c6fb73f7b3b4aaab8db5141cf,institutional_safe,65,111.6,aave,USDC|USDe|USDT,,"Borrows only stablecoins: USDC, USDT, USDe | Contract address (Safe/multisig/bot) | Whale: $112M borrowed"
2,0xd46b96d15fff9b2b17e9c788086f3159bd0e8355,institutional_safe,65,87.6,aave|aave_lido,wstETH,,"Uses 2 protocols: aave, aave_lido | High leverage: 0.9x (borrowed/net) | Borrows only volatile: wstETH | Contract address (Safe/multisig/bot)"
2,0xeaa7723633cf598e872d611f5ec50a45b65cbc72,institutional_safe,65,86.7,aave|spark,USDC|DAI,,"Uses 2 protocols: aave, spark | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: DAI, USDC | Contract address (Safe/multisig/bot)"
3,0x3b3bdaa4462851621818d2cebc835e077587147a,likely_institutional,55,108.3,aave|morpho,USDT,,"Uses 2 protocols: aave, morpho | High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT | Whale: $190M borrowed"
3,0x96307abd00708aecc8f555fdc1ede96e9d3a2aa0,likely_institutional,55,46.7,morpho,USDC|WETH|USDA,,Contract address (Safe/multisig/bot) | Uses Morpho (institutional-grade)
3,0x4f0eeb8d7797bd005fdf88fcc85b47aacc59cf36,likely_institutional,55,45.0,aave|morpho,USDC|WETH,,"Uses 2 protocols: aave, morpho | Uses Morpho (institutional-grade)"
3,0xe3efe389b8a40dbc16a92e88c34534ddf82d8be4,likely_institutional,55,35.5,aave|morpho,WETH,,"Uses 2 protocols: aave, morpho | High leverage: 1.0x (borrowed/net) | Borrows only volatile: WETH | Contract address (Safe/multisig/bot)"
3,0x95db48cbfe79af3ea982eca5b9d78bc783fc06cc,likely_institutional,55,27.3,aave|aave_lido|morpho,WETH,,"Uses 3 protocols: aave, aave_lido, morpho | High leverage: 1.3x (borrowed/net) | Borrows only volatile: WETH | Contract address (Safe/multisig/bot)"
3,0x6a1fac6b3466e29421f70d6eaa91a0de0f627ea2,likely_institutional,55,13.4,aave|morpho,USDC|DAI|USDT,,"Uses 2 protocols: aave, morpho | High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT | Contract address (Safe/multisig/bot)"
3,0x687f584fd1f4a4d9eb277c03a24fe28f4b0675b7,likely_institutional,55,12.7,morpho,USDC|USDS|DAI|USDT,,"Borrows only stablecoins: DAI, USDC, USDS, USDT | Uses Morpho (institutional-grade)"
3,0xb9fd5a298581586fd7b7c365ca5f1c10aef0b8a8,likely_institutional,55,10.8,morpho,WETH|DAI|USDT,,Contract address (Safe/multisig/bot) | Uses Morpho (institutional-grade)
3,0x21971c9b17425141a1dac54f9abf1ad1489d8b90,likely_institutional,55,10.5,morpho,USDC|WETH,,Contract address (Safe/multisig/bot) | Uses Morpho (institutional-grade)
3,0x03ff6729de579e60c5a3289be0bea42aff69be93,likely_institutional,55,10.4,morpho,DAI,,Borrows only stablecoins: DAI | Contract address (Safe/multisig/bot) | Uses Morpho (institutional-grade)
4,0x54dda22ae140edb605c73073eabb6f4aea2fc237,likely_treasury,50,119.7,aave,USDC|USDT,,"Conservative: 0.3x leverage | Borrows only stablecoins: USDC, USDT | Whale: $120M borrowed"
5,0xe051fb91ec09eefb77e7f7a599291bf921eb504d,likely_yield_fund,50,502.4,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT | Mega whale: $502M borrowed
5,0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,likely_yield_fund,50,273.4,aave|spark,USDC|USDT|DAI|GHO,,"Uses 2 protocols: aave, spark | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: DAI, GHO, USDC, USDT | Borrows GHO (Aave-native stablecoin)"
5,0xdb7030beb1c07668aa49ea32fbe0282fe8e9d12f,likely_yield_fund,50,265.2,aave|compound,USDC|DAI,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: DAI, USDC | Whale: $436M borrowed"
5,0xd4584bf988c9e8994688b56484e2f74ceaeefb20,likely_yield_fund,50,167.5,aave,USDC|USDT,,"High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC, USDT | Whale: $167M borrowed"
5,0xa2e3d7e8bbcbeac6d07cfc972b3bee6d1e2b2c24,likely_yield_fund,50,162.0,aave,USDe,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDe | Whale: $162M borrowed
5,0xc26b5977c42c4fa2dd41750f8658f6bd2b67869c,likely_yield_fund,50,142.6,aave|compound,USDC|DAI|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT | Whale: $235M borrowed"
5,0x9ffe77146cc1da3edb87af163c6c32bab474b464,likely_yield_fund,50,107.5,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT | Whale: $108M borrowed
5,0x5732b9f8c80a8fa48879bbfd0f51344e94fc532c,likely_yield_fund,50,102.8,aave,USDC|USDT,,"High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDC, USDT | Whale: $103M borrowed"
5,0xdb802c7c6b7cc1c0e8474bb7eb80bbc569763de5,likely_yield_fund,50,95.0,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC
5,0xf8587bfb4d3e0b31029efa09d595ee6179ddfeaa,likely_yield_fund,50,90.5,aave|compound,USDC|PYUSD|DAI|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: DAI, PYUSD, USDC, USDT | Whale: $150M borrowed"
5,0xedcdf2e84f2a6ba94b557b03bdfb7d10eca5aa50,likely_yield_fund,50,70.6,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC, USDT | Whale: $126M borrowed"
5,0x4116812b89749563d40b0ffc187db7ce668711cb,likely_yield_fund,50,70.0,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0xa740c1d26d690a34223b06d41b1268b2d0d7b5b6,likely_yield_fund,50,65.9,aave,USDC|USDT,,"High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0xdc3abf85e090528669cf1b44ef4082b269c21a95,likely_yield_fund,50,62.0,aave,GHO|USDT,,"High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: GHO, USDT | Borrows GHO (Aave-native stablecoin)"
5,0x0591926d5d3b9cc48ae6efb8db68025ddc3adfa5,likely_yield_fund,50,61.4,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC | Contract address (Safe/multisig/bot)
5,0xf744f66621df59861fe621444e473b595bb83ad4,likely_yield_fund,50,60.0,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x3d10ed16c911cd22d100cbc00165c918a2df66bc,likely_yield_fund,50,59.3,aave|compound,USDC|DAI|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT"
5,0x1cd14801537a3d1550b7e30a9ed59bf68d8cbc84,likely_yield_fund,50,58.5,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDC, USDT | Whale: $103M borrowed"
5,0xc3fe8b63ea05e8e27b3f3358d646915d7ed931e4,likely_yield_fund,50,58.0,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x8fb388696010edc0c5d574b2f25b9629724acfe8,likely_yield_fund,50,55.9,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x34d1231f15da58762a84ead35242896e7fec4ac1,likely_yield_fund,50,54.0,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
